問題ID,問題文,選択肢,正解,解説,正答率,テーマ,画像URL
116C8,レム睡眠で正しいのはどれか。,"ａ: 徐波睡眠と呼ばれる。
ｂ: 骨格筋の活動が活発になる。
ｃ: 夢を見ていることが少ない。
ｄ: 自律神経系の活動が変動しやすい。
ｅ: 成人では一晩の睡眠の半分以上を占める。",d,【選択肢考察】ａ　基礎〜速波をみる。ｂ　筋トーヌスは低下する。ｃ　夢を見ていることが多い。ｄ　正しい。これにより、心拍数や血圧が上昇しやすい。ｅ　成人では約20％程度とされる。新生児ではレム睡眠が半分以上を占める。,71%,レム睡眠〈REM睡眠〉について,
116C9,高額療養費制度において、患者の年齢に加えて月の自己負担限度額を規定する条件はどれか。,"ａ: 疾患の種類
ｂ: 治療の種類
ｃ: 疾患の罹病期間
ｄ: 受診医療機関の規模
ｅ: 患者世帯の標準報酬月額",e,高額療養費制度において、月の自己負担限度額を規定する条件は大きく2つ、患者の年齢と世帯年収（所得）である。社会保険料の算定上、年収（所得）は「標準報酬月額」という形で考慮される。,80%,高額療養費制度において月の自己負担限度額を規定する条件,
116C10,「がん対策推進基本計画（平成30年3月）」において推進されるべきとされている緩和ケアについて誤っているのはどれか。,"ａ: 終末期になってから導入する。
ｂ: 患者の家族に対する対応を含む。
ｃ: 医療用麻薬に関する啓発を行う。
ｄ: 精神腫瘍医の役割についての記載がある。
ｅ: 医師以外の医療従事者も緩和ケアに関わる。",a,【プロセス】「『がん対策推進基本計画（平成30年3月）』において」と銘打ってはあるも、常識的範囲内で解決可能であろう。正答率もほぼ100％であった。【選択肢考察】ａ　誤り。終末期に至る前から導入を検討すべきだ。ｂ　患者本人のみならず、その家族も対象に含まれる。ｃ　「麻薬」と聞いただけで違法薬物を想起し、使用をためらってしまう者もいる。適切な啓発が必要だ。ｄ　がん患者及びその家族の精神心理的な苦痛の軽減および療養生活の質の向上を目的とし、薬物療法のみならず、がんに関連する苦悩などに耳を傾ける等、専門的知識、技能、態度を用いて、誠意をもった診療に積極的にあたる意思を有した精神科医・心療内科医のことを精神腫瘍医と呼ぶ。この役割につき、記載がある。ｅ　緩和ケアは医師のみが行うものではない。むろん医師以外の医療従事者も関与する。,99%,『がん対策推進基本計画』において推進されるべき緩和ケア,
116C11,A医師は地域で禁煙を進めるための様々な活動をしている。定期的に地域の小学校に出向いて①小学生への禁煙教育を行い、近くの企業の②産業医として禁煙活動を行っている。また、自らの診療所で③喫煙者の健康診断や④慢性閉塞性肺疾患の患者の呼吸リハビリテーションも行っている。週末には近所の産婦人科に出かけ、母親学級で⑤喫煙妊婦の禁煙指導も行っている。下線部のうち、三次予防はどれか。,"ａ: ①
ｂ: ②
ｃ: ③
ｄ: ④
ｅ: ⑤",d,【選択肢考察】ａ　①は一次予防に該当する。ｂ　②は一次予防に該当する。「発病後も重症化予防として」と考えれば二次予防とみなすこともできるが、いずれにせよ三次予防ではない。ｃ　③は二次予防に該当する。ｄ　正しい。④は三次予防に該当する。ｅ　⑤は一次予防に該当する。,99%,三次予防に該当するもの,
116C12,滲出性胸水をきたす疾患に含まれないのはどれか。,"ａ: 肺梗塞
ｂ: 肝硬変
ｃ: 急性膵炎
ｄ: 結核性胸膜炎
ｅ: 全身性エリテマトーデス",b,【プロセス】悪性腫瘍や膠原病、感染症など炎症時には胸水中の蛋白濃度が高まり、滲出性胸水となる。一方、うっ血性心不全や肝硬変、ネフローゼ症候群といった蛋白濃度が低い胸水は漏出性胸水と呼ばれる。【選択肢考察】ａ　肺の壊死が起こる、広い意味では炎症性疾患だ。ゆえに滲出性胸水を呈する。ｂ　誤り。上述の通り、漏出性胸水を呈しやすい。ｃ　炎症であり、滲出性胸水を呈する。ｄ　結核により惹起された炎症であり、滲出性胸水を呈する。ｅ　膠原病であり、滲出性胸水を呈する。,75%,滲出性胸水をきたす疾患,
116C13,ノロウイルスの不活化に有効なのはどれか。,"ａ: 逆性石鹸
ｂ: 40℃の温水
ｃ: 40％アルコール
ｄ: 1分間の赤外線照射
ｅ: 1,000ppm（0.1％）次亜塩素酸ナトリウム",e,ノロウイルスの不活化にアルコールなど通常の消毒は不十分。次亜塩素酸ナトリウムが有効となる。,98%,ノロウイルスの不活化に有効なもの,
116C14,尖足を認め、足関節底屈20度の位置から他動的に背屈させることができない。関節可動域の足関節背屈角度の記載として正しいのはどれか。,"ａ: −40度
ｂ: −20度
ｃ: 0度
ｄ: 20度
ｅ: 40度",b,基本肢位（足関節の場合、立位時の状態）を0度と定義する。足関節を背屈するとプラス、底屈するとマイナスである。今回は20度の底屈であり、マイナス20度という記載が正しい。,88%,関節可動域の記載方法,
116C15,総人口を分母とする指標はどれか。,"ａ: 婚姻率
ｂ: 乳児死亡率
ｃ: 老年人口指数
ｄ: 標準化死亡比
ｅ: 合計特殊出生率",a,"【プロセス】以下の解説では概念を簡略化すべく、「人口1,000人に対する」といった単位・桁数調整の表現は割愛する。【選択肢考察】ａ　正しい。婚姻件数を総人口で割ったもの。ｂ　乳児死亡数を出生数で割ったもの。ｃ　老年人口（65歳以上）を生産年齢人口（15〜64歳）で割ったもの。ｄ　実際の死亡数を期待死亡数で割ったもの。ｅ　再生産年齢（15〜49歳）女性の年齢別出生率を合計したもの。",48%,総人口を分母とする指標,
116C16,痛みを主訴に受診するのはどれか。,"ａ: 子宮前屈
ｂ: 子宮腔癒着
ｃ: 子宮腟部びらん
ｄ: バルトリン腺炎
ｅ: 子宮頸管ポリープ",d,【選択肢考察】ａ　子宮は正常状態で前傾前屈している。ゆえに子宮前屈は健常所見であり、痛みはみられない。ｂ　癒着により無月経や不妊となることがある（有名なのがAsherman症候群）。しかしながら、Asherman症候群でも痛みはない。ｃ　不正性器出血の原因となるも、痛みはない。ｄ　正しい。文字通り、バルトリン腺に細菌感染をきたしたものであり、疼痛をみる。ｅ　不正性器出血の原因となるも、痛みはない。,69%,痛みが主訴となる婦人科疾患,
116C17,疾病Yの有病率について、生まれ年が異なる4つのコホートを1965年度から2015年度まで10年おきに最大6回追跡調査した結果を別に示す。疾患Yの有病率について正しいのはどれか。,"ａ: 生まれ年によらず加齢とともに有病率は高くなる。
ｂ: 生まれ年によらず加齢と有病率の関係は変わらない。
ｃ: 生まれ年が早いほど同じ測定時年齢でも有病率は高い。
ｄ: 測定した年度ごとに見ると若年者のほうが有病率は低い。
ｅ: 測定した年度によらず測定時年齢と有病率の関係は変わらない。",a,"【選択肢考察】ａ　正しい。●、■、×、◆すべてにおいて、図内右側に行けば行くほど（年を取れば取るほど）、疾病Yの有病率（縦軸）は増加している。ｂ　もしこの表現が正しいのであれば、●、■、×、◆すべては横一直線になるはずである。ｃ　例えば、生まれ年が早い◆と生まれ年が遅い●を35歳で比較してみよう。◆の方が有病率が低く、●の方が高いことがわかる。ゆえに本選択肢の記載は逆であり、「生まれ年が早いほど同じ測定時年齢でも有病率は低い」と言える。ｄ　1940年生まれ（◆）の75歳時（一番右端のプロット）は2015年である。同様に、×の右端プロット（65歳）、■の右端プロット（55歳）、●の右端プロット（45歳）はやはり2015年。この2015年の4プロットを線でつないでみよう。左上から右下方向の線となるはずだ（2015年以外にも2005, 1995, 1985, 1975年で同じく線を引くことができる）。いずれの線においても、若年者の方が有病率が高いことが読みとれる（例えば2015年の線で言えば、●［45歳］の方が◆［75歳］より有病率が高い）。ｅ　1940年生まれ（◆）の75歳時（一番右端のプロット）は2015年である。同様に、×の右端プロット（65歳）、■の右端プロット（55歳）、●の右端プロット（45歳）はやはり2015年。この2015年の4プロットを線でつないでみよう。左上から右下方向の線となるはずだ（2015年以外にも2005, 1995, 1985, 1975年で同じく線を引くことができる）。ここで例えば2015年の線上にある●（45歳）と1985年の線上にある◆（45歳）は同じ年齢だ。だが、●の方が有病率が高い。ゆえに、測定した年度が最近なほど、同一年齢における有病率が高いと言える。そもそも選択肢の表現が正しいのであれば、プロットの重なりが発生するはずだ。",91%,コホート追跡調査の結果から判断する有病率について,https://damrn710kg0uo.cloudfront.net/data/qpics/production/image/3774/116C-17.jpg
116C18,慢性炎症に伴う貧血で増加するのはどれか。,"ａ: 血清鉄
ｂ: フェリチン
ｃ: 網赤血球数
ｄ: ハプトグロビン
ｅ: 平均赤血球容積〈MCV〉",b,【プロセス】何十年と出題され続けている頻出問題。慢性炎症に伴う二次性貧血〈ACD〉では貯蔵鉄であるフェリチンの利用障害をみる。【選択肢考察】ａ　フェリチンを鉄として利用することができないため、血清鉄は低下する。ｂ　正しい。フェリチンは利用できず、増加する。ｃ　赤血球産生が滞るため、幼若な赤血球である網赤血球数も低下する。ｄ　ハプトグロビンは溶血の指標（溶血にて低下する）。ｅ　ACDでは鉄欠乏性貧血と同じく、小球性貧血を呈する。そのため、MCVは低下する。,95%,慢性炎症に伴う貧血〈ACD〉で増加する指標,
116C19,毒性物質の負荷量と毒性が発現する確率を示した図を別に示す。1日摂取許容量の計算に必要な負荷量はどれか。,"ａ: ①
ｂ: ②
ｃ: ③
ｄ: ④
ｅ: ⑤",b,【プロセス】1日摂取許容量〈ADI〉とは、ある物質について、人が生涯その物質を毎日摂取し続けたとしても、健康への悪影響がないと推定される1日当たりの摂取量を指す。【選択肢考察】ａ　①ではそもそも負荷すら行っておらず、当然毒性は発現しない。「何もしていない」状況であり、特定の指標の計算に用いられる類の量ではない。ｂ　正しい。②は毒性が発現し始める可能性のあるギリギリの負荷量であり、無毒性量〈NOAEL〉と呼ばれる。これ未満であれば、生涯その物質を毎日摂取し続けたとしても、健康への悪影響がないと推定される。ｃ　③は②と④の間にあり、少し負荷して少し毒性発現確率がupした状態。特に呼称はない。ｄ　④は対象の半数に毒性発現が予想される負荷量であり、50％中毒量〈TD50〉と呼ばれる。ｅ　⑤は対象の全数に毒性が発現する負荷量。,66%,1日摂取許容量の計算に必要な負荷量,https://damrn710kg0uo.cloudfront.net/data/qpics/production/image/3775/116C-19.jpg
116C20,生理食塩液輸液下で2日間の絶食により上昇するのはどれか。,"ａ: HbA1c
ｂ: ケトン体
ｃ: アルブミン
ｄ: トリグリセリド
ｅ: 総コレステロール",b,【選択肢考察】ａ　過去数か月間の血糖コントロールを反映する。2日間の絶食では影響されない。ｂ　正しい。エネルギー源としての糖が食事から供給されないため、体内の脂肪分解が起こり、ケトン体が増加する。ｃ　蛋白質摂取の不足により低下する。ｄ　脂質摂取の不足により低下する。ｅ　脂質摂取の不足により低下する。,98%,生理食塩液輸液下で2日間の絶食により上昇する指標,
116C21,我が国における近年の疾病や疾病リスクについて正しいのはどれか。,"ａ: 脳血管疾患の患者数は年々増加している。
ｂ: 過剰飲酒の割合は男性低所得層で最も高い。
ｃ: 悪性新生物（全部位）年齢階級別死亡率は60代で増加傾向が見られる。
ｄ: 40歳未満女性の部位別悪性新生物では子宮頸がんが最も罹患率が高い。
ｅ: 糖尿病罹患は遺伝や生活習慣が主な要因で、社会的環境の関与は少ない。",d,【選択肢考察】ａ　脳血管疾患の患者数は減少傾向。ｂ　2018年の『国民健康・栄養調査』では所得層を①〜200万円、②200〜400万円、③400〜600万円、④600万円〜、の4つに分け、さらに男女別（つまり4×2＝8つ）で比較している。その結果、生活習慣病のリスクを高める量を飲酒している者の割合は④の男性で最多であった（ちなみに次点は③の女性）。ゆえに「男性低所得者で最も高い」としている本選択肢は正しくない。が、「低所得」「高所得」という表現は相対的なものであり、例えばYouTuberなどでは年収が億単位の者もいると聞く。④600万円〜という大雑把なくくりでは必ずしも「所得が多いほど飲酒量が増える」とまでは言い切れないことに注意されたい。ｃ　悪性新生物（全部位）年齢階級別死亡率は全体的に低下傾向。ｄ　△。40歳未満女性の部位別悪性新生物では乳がん罹患率が最多。しかしながら他選択肢が明らかに誤りな以上、不本意ながら本選択肢を正答とせざるを得ない。苦し紛れだが、上皮内がん（一般的には子宮頸がんとは別カウントされる）も含めると考えれば、子宮頸がん＞乳がんとなり本選択肢は正しい記載となる。微妙な問題であり、特にこだわりのある受験生以外、スルーしてよい。ｅ　所得や教育といった、社会的環境要因も糖尿病罹患には大きく関与する。,45%,我が国における近年の疾病や疾患リスクについて,
116C22,炎症性疾患にみられるCRP上昇に最も関与するサイトカインはどれか。,"ａ: IL-1
ｂ: IL-6
ｃ: TGF-β
ｄ: TNF-α
ｅ: インターフェロンγ",b,【選択肢考察】ａ　発熱や炎症反応、リンパ球・好中球活性化を担う。ｂ　正しい。CRPなど急性期炎症蛋白産生促進を担う。ｃ　Transforming Growth Factor-βのことであり、細胞増殖・分化を制御し、細胞死を促す役割を担う。ｄ　感染防御、抗腫瘍作用を担う。ｅ　マクロファージ、NK 細胞の活性化を担う。,71%,炎症性疾患にみられるCRP上昇に関与するサイトカイン,
116C23,Which is the most likely personal information that can be used to identify an individual person?,"ａ: ABO blood type
ｂ: Annual income
ｃ: Date and place of birth
ｄ: Occupation
ｅ: Past medical history",c,【プロセス】全文訳すると「個人特定に最も有用な個人情報はどれか」となる。【選択肢考察】ａ　ABO式血液型。例えばB型の人は世界に多くおり、個人特定には結びつかない。ｂ　年収。例えば年収500万円の人は世界に多くおり、個人特定には結びつかない。ｃ　正しい。誕生日と出生地。確かに生年月日や生まれた場所が同一の人物もこの世には存在しうるが、少なくとも選択肢の中では最も個人を絞り込める。ｄ　職業。例えば医師という職種の人は世界に多くおり、個人特定には結びつかない。ｅ　既往歴。たとえば急性虫垂炎で手術をしたことのある人は世界に多くおり、個人特定には結びつかない。,64%,個人特定に最も有用な情報（英語問題）,
116C24,発声時に活動する内喉頭筋を支配する神経はどれか。,"ａ: 顔面神経
ｂ: 舌咽神経
ｃ: 迷走神経
ｄ: 副神経
ｅ: 舌下神経",c,【選択肢考察】ａ　顔面の運動を支配する。ｂ　咽頭の運動を支配する。ｃ　正しい。発声時に主に働く、喉頭の運動を支配する。ｄ　胸鎖乳突筋と僧帽筋の運動を支配する。ｅ　舌の運動を支配する。,77%,発声時に活動する内喉頭筋を支配する神経,
116C25,地方衛生研究所の業務でないのはどれか。,"ａ: 人口動態統計に係る統計
ｂ: 疾病予防に関する調査研究
ｃ: 地域保健関係者の研修指導
ｄ: 衛生微生物に関する試験検査
ｅ: 公衆衛生情報の収集・解析・提供",a,【プロセス】地方衛生研究所は都道府県又は指定都市における科学的かつ技術的中核として、関係行政部局、保健所等との緊密な連携の下、専門性を活用した地域保健に関する業務として①調査研究、②試験検査、③研修指導、④公衆衛生情報などの収集・解析・提供の4業務を行う。【選択肢考察】ａ　誤り。保健所の業務。ｂ　①に該当する。ｃ　③に該当する。ｄ　②に該当する。ｅ　④に該当する。,88%,地方衛生研究所の業務,
116C26,2009年に比較して2019年の数値が上昇しているのはどれか。,"ａ: 総人口
ｂ: 平均寿命
ｃ: 年間出生数
ｄ: 生産年齢人口
ｅ: 合計特殊出生率",b,【選択肢考察】ａ　死亡数が出生数を上回り、総人口は減少傾向。ｂ　正しい。平均寿命は上昇傾向。ｃ　年間出生数は減少傾向。ｄ　高齢化に伴い、生産年齢人口（15〜64歳の人口）は減少傾向。ｅ　約15％の者が本選択肢を選んでしまった。実際、2009年の合計特殊出生率は1.37、2019年の合計特殊出生率は1.36。確かに減少してはいるが、その差はわずか0.01。この違いを問うのは酷だろう。例えば2007年の合計特殊出生率は1.34であった。なので、この問題が「2007年に比較して2019年の数値が上昇しているのはどれか」であったら本選択肢は正解となっている。では少なくとも過去10年間は小数点第二位まで統計指標を丸暗記しないといけないのか。そんな馬鹿げたことはあるまい。「我が国は高齢化している」という揺るぎない事実から本問では「平均寿命」が明らかな正解と判断できる以上、自信のない選択肢は回避する方策がスマートだ。暗記対象は極力少なく。試験当日にエンカウントした知らない事実は「君子危うきに近寄らず」の原則から放っておけばよい。,86%,2009年に比較して2019年に上昇している指標,
116C27,夜盲を訴える患者の診断に有用な検査はどれか。2つ選べ。,"ａ: 隅角検査
ｂ: 視野検査
ｃ: 網膜電図
ｄ: 角膜知覚検査
ｅ: Hess赤緑試験","b,c",【選択肢考察】ａ　緑内障の検査として有効。ｂ　正しい。夜盲をきたす疾患の代表例である網膜色素変性症では輪状暗点をみる。ｃ　正しい。夜盲をきたす疾患の代表例である網膜色素変性症では網膜電図上、flatとなる。ｄ　ヘルペス性角膜炎など角膜知覚の低下する疾患の検査として有効。ｅ　交通事故後に出現した複視などの検査として有効。,90%,夜盲を訴える患者の診断に有用な検査,
116C28,へき地医療拠点病院について正しいのはどれか。2つ選べ。,"ａ: 無医地区の巡回診療を行う。
ｂ: へき地保健指導所を整備する。
ｃ: へき地保健医療対策を策定する。
ｄ: へき地診療所への医師派遣を行う。
ｅ: 厚生労働大臣によって指定される。","a,d",【選択肢考察】ａ　正しい。へき地医療拠点病院は無医地区の巡回診療を行う。ｂ　へき地保健指導所を整備するのは都道府県（または一部の市町村）。ｃ　へき地保健医療対策を策定するのは都道府県。ｄ　正しい。へき地医療拠点病院はへき地診療所への代診医などの派遣を行う。ｅ　へき地医療拠点病院は都道府県知事によって指定される。,93%,へき地医療拠点病院について,
116C29,予防接種法に規定されている定期接種について正しいのはどれか。2つ選べ。,"ａ: 1類疾病と2類疾病がある。
ｂ: 実施主体は都道府県である。
ｃ: 接種費用が公費で負担される。
ｄ: 医師は副反応を疑う症状を知った時に報告する義務がある。
ｅ: すべての対象疾病について、接種対象者には接種の努力義務がある。","c,d",【選択肢考察】ａ　A類疾病とB類疾病がある。ｂ　実施主体は市町村である。ｃ　正しい。接種費用は全額または一部公費で負担される。ｄ　正しい。副反応を疑う症状を知った時、医師には報告義務がある。ｅ　接種の努力義務があるのはA類疾病のみ。B類疾病に努力義務はない。,28%,『予防接種法』に規定されている定期接種について,
116C30,生活保護法について正しいのはどれか。2つ選べ。,"ａ: 給付の申請は保健所で行う。
ｂ: 分娩は扶助の対象外である。
ｃ: 生存権の理念に基づき制定されている。
ｄ: 介護扶助は原則として金銭給付によって行う。
ｅ: 医療扶助では原則として後発医薬品を使用する。","c,e",【選択肢考察】ａ　給付の申請は福祉事務所で行う。ｂ　分娩は出産扶助（生活保護制度に規定される扶助の1つ）の対象である。ｃ　正しい。生存権（『日本国憲法』第25条）の理念に基づく。ｄ　医療扶助と介護扶助は原則として現物給付によって行う。ｅ　正しい。生活保護の対象者に対し、医薬品が必要となる場合、原則として後発医薬品〈ジェネリック医薬品〉が使用される。むろん「原則として」にすぎず、医師等の判断により先発医薬品が必要と考えられる場合はその限りでない。,36%,『生活保護法』について,
116C31,骨盤腔に及ぶ脾腫がみられる頻度が高いのはどれか。2つ選べ。,"ａ: 多発性骨髄腫
ｂ: 原発性骨髄線維症
ｃ: 急性骨髄性白血病
ｄ: 慢性骨髄性白血病
ｅ: 急性リンパ性白血病","b,d",【プロセス】巨大脾腫を呈する血液疾患としては、原発性骨髄線維症〈PMF〉、慢性骨髄性白血病〈CML〉、CMLの急性転化、真性赤血球増加症〈PV〉などを知っておこう。【選択肢考察】ａ　骨髄内で異常形質細胞が増殖する疾患であり、脾腫はみない。ｂ　正しい。上記の通り。ｃ　急性白血病では白血病裂孔が陽性となるため、全系統の血球が異常増殖することはない。そのため、脾腫は通常みられたとしても軽度である。ｄ　正しい。上記の通り。ｅ　急性白血病では白血病裂孔が陽性となるため、全系統の血球が異常増殖することはない。そのため、脾腫は通常みられたとしても軽度である。,81%,骨盤腔に及ぶ脾腫がみられる疾患,
116C32,我が国の労働災害について正しいのはどれか。2つ選べ。,"ａ: 労働災害の認定は産業医が行う。
ｂ: 死亡者数は年間100人以下である。
ｃ: 業務上疾病で最も多いのは熱中症である。
ｄ: 休業4日以上の傷病者数は近年増加傾向にある。
ｅ: 精神障害による労働災害認定件数は増加傾向にある。","d,e",【選択肢考察】ａ　労働災害の認定は労働基準監督署長が行う。ｂ　2020年の死亡者数は802人と公表されている。年によって数値は前後するが、年間100人以下ということはない。ｃ　例年、 業務上疾病で最も多いのは災害性腰痛である。ただし2020年は新型コロナウイルス罹患が最多であった。統計年度により変化するところではあるも、少なくとも熱中症が第一位ということはない。ｄ　正しい。休業4日以上の傷病者数は増加傾向。ｅ　正しい。うつ病等、精神障害による労働災害認定件数は増加傾向。,59%,我が国の労働衛生について,
116C33,収縮期（A）と拡張期（B）の経食道心臓超音波像を別に示す。正しいのはどれか。2つ選べ。,"ａ: Aは右心房である。
ｂ: Bは僧帽弁である。
ｃ: Cは左心室である。
ｄ: Dは肺動脈弁である。
ｅ: Eは左心房である。","b,c",【選択肢考察】ａ　Aは最も後方にある心腔であり、左心房である（経食道エコーであり、プローブの位置が最も背中側になることに注意）。ｂ　正しい。左心房と左心室の間にある弁であり、僧帽弁で間違いない。ｃ　正しい。左心房と連続性がある心腔であり、左心室である。ｄ　Dは左心室から大動脈へ至る部分にある弁であり、大動脈弁である。ｅ　Eは左心室からの駆出血が至る部分であり、大動脈である。,88%,経食道心臓超音波像から判別する心臓の解剖,"https://damrn710kg0uo.cloudfront.net/data/qpics/production/image/3776/116C-33A.jpg,https://damrn710kg0uo.cloudfront.net/data/qpics/production/image/3777/116C-33B.jpg"
116C34,理学療法士や作業療法士によるリハビリテーションを受けられる介護保険施設または介護サービスはどれか。2つ選べ。,"ａ: 介護老人保健施設
ｂ: 介護老人福祉施設
ｃ: 通所介護（デイサービス）
ｄ: 小規模多機能型居宅介護サービス
ｅ: 通所リハビリテーション（デイケア）","a,e",【選択肢考察】ａ　正しい。入院不要の病状安定期患者の家庭復帰を目指したリハビリテーションが行われる。ｂ　特別養護老人ホームとも呼ばれ、常時介護が必要かつ居宅介護が困難な者が入所する。原則として医療行為は行われず、主として食事・入浴などの介助が行われる。ｃ　通所による食事や入浴の介助が行われる。レクリエーション等は行われるが、リハビリテーションは実施しない。ｄ　通所によるデイサービスのほか、ショートステイや居宅訪問も行われる。食事や入浴の介助を受けることができるが、リハビリテーションは実施されない。ｅ　正しい。文字通り、通所でリハビリテーションを受けることができる。,90%,リハビリテーションを受けられる介護保険施設または介護サービス,
116C35,出産、育児と就労について正しいのはどれか。3つ選べ。,"ａ: 産前休業は請求すればいつでも取得できる。
ｂ: 産後休業は出産日翌日から8週間取得できる。
ｃ: 育児休業は子供が1歳の誕生日まで取得できる。
ｄ: 育児休業は子供が3歳になるまで延長できる。
ｅ: 育児休業は配偶者も取得することができる。","b,c,e",【選択肢考察】ａ　産前休業は出産予定日の6週前（多胎の場合は14週前）から取得できる。ｂ　正しい。なお、6週間は産後休業の取得が義務となっている。7〜8週は本人が希望し、かつ医師が認めた場合に任意取得となる。ｃ　△。厳密には育児休業が取得できるのは子供が1歳の誕生日を迎える前日までである。また、父母が交互で取得する場合、子供が1歳2か月まで取得可能。よって文字通り解釈すれば本選択肢は誤っている。しかし、他に適切な選択肢もないため、やむなく選ぶ運びとなる。ｄ　特段の事情がある場合、2歳まで延長可能なことがある。が、3歳までは不可。ｅ　正しい。父も母も取得可能。,77%,出産、育児と労働について,
116C36,65歳の女性。多発関節痛を主訴に来院した。5か月前に自宅近くの医療機関で関節リウマチの診断を受けた。B型およびC型肝炎ウイルス検査、結核菌特異的全血インターフェロンγ遊離測定法〈IGRA〉は陰性で、メトトレキサートとプレドニゾロンによる治療が開始されたが、症状が改善しないため紹介受診となった。多発関節炎を認め、生物学的製剤による治療の適応と考えられた。併存疾患はない。輸血歴、結核の家族歴や接触歴もない。末梢血白血球数、リンパ球数、血清IgG、胸部エックス線検査に異常を認めない。この患者で生物学的製剤による治療開始前に追加すべき検査はどれか。,"ａ: 抗EBNA抗体
ｂ: β-D-グルカン
ｃ: 抗アスペルギルス抗体
ｄ: 抗水痘・帯状疱疹ウイルス抗体
ｅ: 血中サイトメガロウイルス抗原",b,【プロセス】①関節リウマチの診断済②B型/C型肝炎ウイルス、IGRAは陰性③メトトレキサートとプレドニゾロンによる治療開始④生物学的製剤による治療の適応☞①の治療として③、そして事前の②検査はプロトコル通り。④に際し、追加で何を検査すべきか、という一歩突っ込まれた出題となっている。そのためか、出題者の意図したと思われる正解肢を選べた者は約10％と散々たる結果に。受験生レベルでは難しすぎるため、採点除外となった。水痘・帯状疱疹ウイルスまたはサイトメガロウイルスを選択肢した者が約85％。気持ちは分かるが、頻度的な問題やルール上の問題から、実臨床上は行われていない。モヤモヤするところかもしれないが、ある程度は「そういうもの」と割り切るしかなかろう。【選択肢考察】ａ　EBウイルスの抗体。日和見感染する病原体ではないため、特に考えなくてよい。ｂ　正しい。生物学的製剤導入により、真菌感染症に対する抵抗力が弱くなる。そのため、現時点で深在性真菌症に罹患していないか、確認すべき。ｃ　日和見感染の原因とはなるも、生物学的製剤導入後には頻度的に稀。ｄ　免疫低下により帯状疱疹が出現しやすくなるも、治療法は確立しており、かつ潜在している水痘・帯状疱疹ウイルスの根治方法もない。そのため、現時点で評価する意義に乏しい。ｅ　日和見感染の原因とはなるも、生物学的製剤導入後には頻度的に少ない。,10%,関節リウマチ患者に対する生物学的製剤治療の前に行う検査,
116C37,"75歳の女性。血便を主訴に来院した。半年前から時折暗赤色の血便があったが、自然軽快するため様子をみていた。3日前から再び血便が出現したため受診した。受診日の朝には普通便に戻っていた。既往歴に特記すべきことはなく、現在内服薬はない。意識は清明。体温36.8℃。脈拍84/分、整。血圧116/84mmHg。呼吸数16/分。SpO2 96％（room air）。眼瞼結膜に軽度貧血を認める。腹部は平坦、軟で、圧痛を認めない。直腸指診で異常を認めない。血液所見：赤血球345万、Hb 8.6g/dL、Ht 26％、白血球7,400、血小板26万、血液生化学所見：総蛋白6.8g/dL、アルブミン3.6g/dL、総ビリルビン0.9mg/dL、AST 26U/L、ALT 27U/L、LD 265U/L（基準値120～245）、アミラーゼ65U/L（基準37～160）、尿素窒素21mg/dL、クレアチニン0.8mg/dL、Fe 23μg/dL、フェリチン10ng/mL（基準20～120）、TIBC 412μg/dL（基準290～390）、血糖101mg/dL、Na 142mEq/L、K 4.6mEq/L、Cl 99mEq/L。CRP 0.1mg/dL。便潜血検査陽性。腹部造影CT、上部および下部消化管内視鏡検査を施行したが病変は認めなかった。次に行う検査として適切なのはどれか。","ａ: 小腸造影
ｂ: 腹部MRI
ｃ: 腹部血管造影
ｄ: 小腸カプセル内視鏡
ｅ: Meckel憩室シンチグラフィ",d,【プロセス】①半年前から時折暗赤色の血便（便潜血検査陽性）②眼瞼結膜に軽度貧血③Hb 8.6g/dL・Feとフェリチン低下・TIBC高値④腹部造影CT・上部/下部消化管内視鏡検査で病変見つからず☞①より消化管出血を疑う。②③より失血による鉄欠乏性貧血を呈しているようだ。④の範囲内で見つからないということは、残る可能性は小腸だ。【選択肢考察】ａ　たしかに小腸の検査ではあるも、造影なので白黒の世界で判断することとなる。大きな腫瘍であれば見つかりやすいも、出血の原因の同定は難しい。ｂ　腹部造影CTでも病変が見つかっておらず、MRIにしても結果は変わらないと推測される。ｃ　出血している原因血管が見つかる可能性はあるも、小腸は長い構造であるため、網羅的な実施は困難。まずはもう少し大雑把にスクリーニングできる検査を行いたい。ｄ　正しい。カプセル内視鏡により小腸の肉眼所見を網羅的に入手可能。原因部位の同定に役立つ。ｅ　Meckel憩室の検査。Meckel憩室はそもそも若年者に多い病態ではあるし、現時点でMeckel憩室の存在が濃厚なわけでもない。決め打ちをして侵襲のある検査をする意義には乏しい。,94%,CTと上部/下部消化管内視鏡でも病変が確認できない血便への検査,
